Italy	318	10	7	8	10	8	12	10	10	6	5	8	8	10	8	7	10	5	6	7		7	10	12	8	2	8	7	10	7	10	10	12	12	10	10	3	10	12	3
Ukraine	267	4	10	7	8	10	6	8	6	10	1	5	10	12	6	4	5	8	8	12	12	6	12	1	10	5	4	5	12	10	7	7	5	8	7	6	4	2		4
France	251	6	4	6	2	12	10	7	8	2	3	7	6		5	10	8	7	7	8	1	3	8	3	6	12	5	4	5	12	8	6	10	10	6	12	6	6	5	5
Finland	218	3	3	4	5	6	8	6	4	4	7	12		1		8	6	12	5	4	8	8	7	7	5	4	2	6	6	5	6	8	4	7	4	2	12	4	8	7
Iceland	180		12	10		5		4		7	12	3	12	4	1	6			10	1	6	5	3	5		8		10	8	3		1		5	3	5	10	5	6	10
Switzerland	165	12	5	5	4	4	3	5		3	6	2	7	6		2	4	6	3	6		4	6		4	7	7	2	7	6	5	5	3	1	5	7	5		7	1
Lithuania	165		6	3		7			5	1	4	10	5		10	12		4	12	3	5	12		6	2	3		12	4		3	2				4	7	1	10	12
Russia	100				6		7	3	3	5		6	1		4	5	1			10	7	10	4		12		1		2	1			1	6	1				4	
Serbia	82		2	12			5	12						3		3					4			4			12								12		1	12		
Greece	79	8					2		12	8					12										7	10				2			7	3	8					
Sweden	63	1				3	1				10	1	3	2				10	1			1	1	8	3			8	1	4								3	2	
Moldova	62	7			1					12			2	7	2						2									8	12	3	6							
Norway	60		1	1	7	1					8	4	4			1		1				2	5	10					3						2		8			2
Malta	47		8	2		2			1		2						3	3	4	5						1		3			2					3	2			6
Cyprus	44	2															12							2			6					12	8	2						
Albania	35							1									7				10						10											7		
Azerbaijan	33						4	2							3		2			2					1		3	1			4	4		4					3	
Bulgaria	30	5							7																								2			8				8
Portugal	27													8				2	2							6										1		8		
Israel	20				12				2					5																	1									
San Marino	13				3										7						3																			
Belgium	3																						2																1	
Netherlands	0																																							
Spain	0																																							
Germany	0																																							
United Kingdom	0																																							
