Finland	376	6	6	12	12	8	12	10	7	10	12	12		6	8	12	10	12	12	12	6	12	12	8	7	12	12	10	10	10	12	12	10	12	12	8	10	12	10
Sweden	243	10	7	10	4	10	10	2	8	6	8	10		3	7	1	8	10	6	4	3	8	7	10	8	8	10	7	7	8	8	6	4	5		5	3	5	7
Norway	216	4	4	6	7	2	8	5	5	7	10	7	12	1	2	5	6	8	5	10	10	3		7	6	7		8	4	5	4	5	5	8	10	2	7	7	4
Ukraine	189		1		5	7	1		10	12	7	8		4	10	7		2	7	8	8	7	10	5	12		1	12	12	4	6			10	4			4	5
Israel	185	5	12	5	1	12	5	4	12	8				10	6		7		1		5	5	3	6	10	6	3	5	5	6	10	7		7		3	1	3	12
Italy	174	12	3		8	4	7	8	6	1	3	2		7	5	10	5	1		7			6	12	5	3	7		6	7	7	2	8	6	6	10			
Croatia	112	8		4	10					4			4		1	6		5	2	6	4	4	4					6				10	12		5	6	8		3
Poland	81	1	5				4		2		5	3				4		7	8				8		4	2	6				1		1				12	8	
Moldova	76							1	1	5	1		3	8	3				4	5	12		2						8	12	3			1			6	1	
Albania	59				3		3	6								8	4				7			3									7			12			6
Cyprus	58	7	8	8		6					2						12								3		2	4		1	5								
Belgium	55			3							6			2		2		6	3							10	4		1				2	3	7			6	
Armenia	53						6		4	2				12	12		2			3					2									2					8
France	50	3	10	2			2		3								3	4		1			1	1			8		2	3		1	3		2				1
Lithuania	46											5			4				10			10						1			2						4	10	
Slovenia	45	2		1		5		12		3		1	7									2						2		2		8							
Czechia	35					3		3					10				1			2	2	1			1			3				4			3		2		
Switzerland	31		2		2	1					4	4	1			3					1						5								8				
Estonia	22												6									6	5			5													
Australia	21											6	8					3								1									1			2	
Austria	16			7									2													4						3							
Portugal	16													5																				4		7			
Serbia	16							7																2									6			1			
Germany	15				6								5																							4			
United Kingdom	9																							4													5		
Spain	5																												3										
